provider,scrape_run_id,event_id,event_name,schedule_id,age_year,gender,team_id,team_id_source,team_name,club_name,opponent_id,opponent_id_source,opponent_name,opponent_club_name,game_date,game_time,home_away,goals_for,goals_against,result,venue,source_url,scraped_at
tgs,2025-12-11T22:25:53.594711+00:00_56f584,3900,Event 3900,32437,2008,Boys,113809,113809,LA Krewe Rush ECNL RL B08/07,LA Krewe Rush,115764,115764,Union 10 FC ECNL RL B08/07,Union 10 FC,2025-08-23,09:00:00,H,3,4,L,Field 6- Turf,https://public.totalglobalsports.com/public/event/3900,2025-12-11T22:25:53.594711+00:00
tgs,2025-12-11T22:25:53.594711+00:00_56f584,3900,Event 3900,32437,2008,Boys,115764,115764,Union 10 FC ECNL RL B08/07,Union 10 FC,113809,113809,LA Krewe Rush ECNL RL B08/07,LA Krewe Rush,2025-08-23,09:00:00,A,4,3,W,Field 6- Turf,https://public.totalglobalsports.com/public/event/3900,2025-12-11T22:25:53.594711+00:00
tgs,2025-12-11T22:25:53.594711+00:00_56f584,3900,Event 3900,32437,2008,Boys,114285,114285,Louisiana Fire Soccer Club ECNL RL B08/07,Louisiana Fire Soccer Club,80130,80130,Coastal Rush ECNL RL B08/07,Coastal Rush,2025-08-23,13:00:00,H,3,2,W,Field 3,https://public.totalglobalsports.com/public/event/3900,2025-12-11T22:25:53.594711+00:00
tgs,2025-12-11T22:25:53.594711+00:00_56f584,3900,Event 3900,32437,2008,Boys,80130,80130,Coastal Rush ECNL RL B08/07,Coastal Rush,114285,114285,Louisiana Fire Soccer Club ECNL RL B08/07,Louisiana Fire Soccer Club,2025-08-23,13:00:00,A,2,3,L,Field 3,https://public.totalglobalsports.com/public/event/3900,2025-12-11T22:25:53.594711+00:00
tgs,2025-12-11T22:25:53.594711+00:00_56f584,3900,Event 3900,32437,2008,Boys,113809,113809,LA Krewe Rush ECNL RL B08/07,LA Krewe Rush,80130,80130,Coastal Rush ECNL RL B08/07,Coastal Rush,2025-08-24,09:00:00,H,5,2,W,Field 5,https://public.totalglobalsports.com/public/event/3900,2025-12-11T22:25:53.594711+00:00
tgs,2025-12-11T22:25:53.594711+00:00_56f584,3900,Event 3900,32437,2008,Boys,80130,80130,Coastal Rush ECNL RL B08/07,Coastal Rush,113809,113809,LA Krewe Rush ECNL RL B08/07,LA Krewe Rush,2025-08-24,09:00:00,A,2,5,L,Field 5,https://public.totalglobalsports.com/public/event/3900,2025-12-11T22:25:53.594711+00:00
tgs,2025-12-11T22:25:53.594711+00:00_56f584,3900,Event 3900,32437,2008,Boys,114285,114285,Louisiana Fire Soccer Club ECNL RL B08/07,Louisiana Fire Soccer Club,115764,115764,Union 10 FC ECNL RL B08/07,Union 10 FC,2025-08-24,12:00:00,H,2,3,L,Field 3,https://public.totalglobalsports.com/public/event/3900,2025-12-11T22:25:53.594711+00:00
tgs,2025-12-11T22:25:53.594711+00:00_56f584,3900,Event 3900,32437,2008,Boys,115764,115764,Union 10 FC ECNL RL B08/07,Union 10 FC,114285,114285,Louisiana Fire Soccer Club ECNL RL B08/07,Louisiana Fire Soccer Club,2025-08-24,12:00:00,A,3,2,W,Field 3,https://public.totalglobalsports.com/public/event/3900,2025-12-11T22:25:53.594711+00:00
tgs,2025-12-11T22:25:53.594711+00:00_56f584,3900,Event 3900,32437,2008,Boys,114969,114969,Hattiesburg FC ECNL RL B08/07,Hattiesburg FC,111111,111111,Gulf Coast United FC ECNL RL B08/07,Gulf Coast United FC,2025-09-06,16:00:00,H,1,0,W,field 17,https://public.totalglobalsports.com/public/event/3900,2025-12-11T22:25:53.594711+00:00
tgs,2025-12-11T22:25:53.594711+00:00_56f584,3900,Event 3900,32437,2008,Boys,111111,111111,Gulf Coast United FC ECNL RL B08/07,Gulf Coast United FC,114969,114969,Hattiesburg FC ECNL RL B08/07,Hattiesburg FC,2025-09-06,16:00:00,A,0,1,L,field 17,https://public.totalglobalsports.com/public/event/3900,2025-12-11T22:25:53.594711+00:00
tgs,2025-12-11T22:25:53.594711+00:00_56f584,3900,Event 3900,32437,2008,Boys,115895,115895,MSC Lakers ECNL RL B08/07,Mandeville Soccer Club,80130,80130,Coastal Rush ECNL RL B08/07,Coastal Rush,2025-09-06,19:00:00,H,1,2,L,Purple 1,https://public.totalglobalsports.com/public/event/3900,2025-12-11T22:25:53.594711+00:00
tgs,2025-12-11T22:25:53.594711+00:00_56f584,3900,Event 3900,32437,2008,Boys,80130,80130,Coastal Rush ECNL RL B08/07,Coastal Rush,115895,115895,MSC Lakers ECNL RL B08/07,Mandeville Soccer Club,2025-09-06,19:00:00,A,2,1,W,Purple 1,https://public.totalglobalsports.com/public/event/3900,2025-12-11T22:25:53.594711+00:00
tgs,2025-12-11T22:25:53.594711+00:00_56f584,3900,Event 3900,32437,2008,Boys,115895,115895,MSC Lakers ECNL RL B08/07,Mandeville Soccer Club,115764,115764,Union 10 FC ECNL RL B08/07,Union 10 FC,2025-09-07,13:00:00,H,3,3,D,Purple 3,https://public.totalglobalsports.com/public/event/3900,2025-12-11T22:25:53.594711+00:00
tgs,2025-12-11T22:25:53.594711+00:00_56f584,3900,Event 3900,32437,2008,Boys,115764,115764,Union 10 FC ECNL RL B08/07,Union 10 FC,115895,115895,MSC Lakers ECNL RL B08/07,Mandeville Soccer Club,2025-09-07,13:00:00,A,3,3,D,Purple 3,https://public.totalglobalsports.com/public/event/3900,2025-12-11T22:25:53.594711+00:00
tgs,2025-12-11T22:25:53.594711+00:00_56f584,3900,Event 3900,32437,2008,Boys,111111,111111,Gulf Coast United FC ECNL RL B08/07,Gulf Coast United FC,80130,80130,Coastal Rush ECNL RL B08/07,Coastal Rush,2025-09-13,11:00:00,H,0,6,L,field 3,https://public.totalglobalsports.com/public/event/3900,2025-12-11T22:25:53.594711+00:00
tgs,2025-12-11T22:25:53.594711+00:00_56f584,3900,Event 3900,32437,2008,Boys,80130,80130,Coastal Rush ECNL RL B08/07,Coastal Rush,111111,111111,Gulf Coast United FC ECNL RL B08/07,Gulf Coast United FC,2025-09-13,11:00:00,A,6,0,W,field 3,https://public.totalglobalsports.com/public/event/3900,2025-12-11T22:25:53.594711+00:00
tgs,2025-12-11T22:25:53.594711+00:00_56f584,3900,Event 3900,32437,2008,Boys,115764,115764,Union 10 FC ECNL RL B08/07,Union 10 FC,114969,114969,Hattiesburg FC ECNL RL B08/07,Hattiesburg FC,2025-09-13,12:00:00,H,7,0,W,field 4,https://public.totalglobalsports.com/public/event/3900,2025-12-11T22:25:53.594711+00:00
tgs,2025-12-11T22:25:53.594711+00:00_56f584,3900,Event 3900,32437,2008,Boys,114969,114969,Hattiesburg FC ECNL RL B08/07,Hattiesburg FC,115764,115764,Union 10 FC ECNL RL B08/07,Union 10 FC,2025-09-13,12:00:00,A,0,7,L,field 4,https://public.totalglobalsports.com/public/event/3900,2025-12-11T22:25:53.594711+00:00
tgs,2025-12-11T22:25:53.594711+00:00_56f584,3900,Event 3900,32437,2008,Boys,115895,115895,MSC Lakers ECNL RL B08/07,Mandeville Soccer Club,113809,113809,LA Krewe Rush ECNL RL B08/07,LA Krewe Rush,2025-09-13,13:00:00,H,1,2,L,Purple 3,https://public.totalglobalsports.com/public/event/3900,2025-12-11T22:25:53.594711+00:00
tgs,2025-12-11T22:25:53.594711+00:00_56f584,3900,Event 3900,32437,2008,Boys,113809,113809,LA Krewe Rush ECNL RL B08/07,LA Krewe Rush,115895,115895,MSC Lakers ECNL RL B08/07,Mandeville Soccer Club,2025-09-13,13:00:00,A,2,1,W,Purple 3,https://public.totalglobalsports.com/public/event/3900,2025-12-11T22:25:53.594711+00:00
tgs,2025-12-11T22:25:53.594711+00:00_56f584,3900,Event 3900,32437,2008,Boys,114969,114969,Hattiesburg FC ECNL RL B08/07,Hattiesburg FC,80130,80130,Coastal Rush ECNL RL B08/07,Coastal Rush,2025-09-14,10:00:00,H,3,2,W,field 16,https://public.totalglobalsports.com/public/event/3900,2025-12-11T22:25:53.594711+00:00
tgs,2025-12-11T22:25:53.594711+00:00_56f584,3900,Event 3900,32437,2008,Boys,80130,80130,Coastal Rush ECNL RL B08/07,Coastal Rush,114969,114969,Hattiesburg FC ECNL RL B08/07,Hattiesburg FC,2025-09-14,10:00:00,A,2,3,L,field 16,https://public.totalglobalsports.com/public/event/3900,2025-12-11T22:25:53.594711+00:00
tgs,2025-12-11T22:25:53.594711+00:00_56f584,3900,Event 3900,32437,2008,Boys,111111,111111,Gulf Coast United FC ECNL RL B08/07,Gulf Coast United FC,115764,115764,Union 10 FC ECNL RL B08/07,Union 10 FC,2025-09-14,13:00:00,H,1,5,L,field 1,https://public.totalglobalsports.com/public/event/3900,2025-12-11T22:25:53.594711+00:00
