provider,scrape_run_id,event_id,event_name,schedule_id,age_year,age_group,gender,team_id,team_id_source,team_name,club_name,opponent_id,opponent_id_source,opponent_name,opponent_club_name,state,state_code,game_date,game_time,home_away,goals_for,goals_against,result,venue,source_url,scraped_at
tgs,2025-12-30T15:58:41.447380+00:00_08e4f8,3924,Event 3924,32149,2011,u15,Girls,92899,92899,Reign Academy - G2011,Reign Academy,107233,107233,United Sports Soccer Club - USFC G-11/12,United Sports Soccer Club,,,2025-08-22,19:00:00,H,2,3,L,Field 2,https://public.totalglobalsports.com/public/event/3924,2025-12-30T15:58:41.447380+00:00
tgs,2025-12-30T15:58:41.447380+00:00_08e4f8,3924,Event 3924,32149,2011,u15,Girls,107233,107233,United Sports Soccer Club - USFC G-11/12,United Sports Soccer Club,92899,92899,Reign Academy - G2011,Reign Academy,,,2025-08-22,19:00:00,A,3,2,W,Field 2,https://public.totalglobalsports.com/public/event/3924,2025-12-30T15:58:41.447380+00:00
tgs,2025-12-30T15:58:41.447380+00:00_08e4f8,3924,Event 3924,32149,2011,u15,Girls,110760,110760,Pacific Northwest SC - PacNW G11 Blue,Pacific Northwest SC,115614,115614,Thurston County United - TC United G2011 Navy,Thurston County United,,,2025-08-22,19:00:00,H,0,1,L,Field 1,https://public.totalglobalsports.com/public/event/3924,2025-12-30T15:58:41.447380+00:00
tgs,2025-12-30T15:58:41.447380+00:00_08e4f8,3924,Event 3924,32149,2011,u15,Girls,115614,115614,Thurston County United - TC United G2011 Navy,Thurston County United,110760,110760,Pacific Northwest SC - PacNW G11 Blue,Pacific Northwest SC,,,2025-08-22,19:00:00,A,1,0,W,Field 1,https://public.totalglobalsports.com/public/event/3924,2025-12-30T15:58:41.447380+00:00
tgs,2025-12-30T15:58:41.447380+00:00_08e4f8,3924,Event 3924,32149,2011,u15,Girls,115614,115614,Thurston County United - TC United G2011 Navy,Thurston County United,92899,92899,Reign Academy - G2011,Reign Academy,,,2025-08-23,16:00:00,H,0,0,D,Field 1,https://public.totalglobalsports.com/public/event/3924,2025-12-30T15:58:41.447380+00:00
tgs,2025-12-30T15:58:41.447380+00:00_08e4f8,3924,Event 3924,32149,2011,u15,Girls,92899,92899,Reign Academy - G2011,Reign Academy,115614,115614,Thurston County United - TC United G2011 Navy,Thurston County United,,,2025-08-23,16:00:00,A,0,0,D,Field 1,https://public.totalglobalsports.com/public/event/3924,2025-12-30T15:58:41.447380+00:00
tgs,2025-12-30T15:58:41.447380+00:00_08e4f8,3924,Event 3924,32149,2011,u15,Girls,110760,110760,Pacific Northwest SC - PacNW G11 Blue,Pacific Northwest SC,107233,107233,United Sports Soccer Club - USFC G-11/12,United Sports Soccer Club,,,2025-08-23,17:30:00,H,0,3,L,Field 2,https://public.totalglobalsports.com/public/event/3924,2025-12-30T15:58:41.447380+00:00
tgs,2025-12-30T15:58:41.447380+00:00_08e4f8,3924,Event 3924,32149,2011,u15,Girls,107233,107233,United Sports Soccer Club - USFC G-11/12,United Sports Soccer Club,110760,110760,Pacific Northwest SC - PacNW G11 Blue,Pacific Northwest SC,,,2025-08-23,17:30:00,A,3,0,W,Field 2,https://public.totalglobalsports.com/public/event/3924,2025-12-30T15:58:41.447380+00:00
tgs,2025-12-30T15:58:41.447380+00:00_08e4f8,3924,Event 3924,32149,2011,u15,Girls,92899,92899,Reign Academy - G2011,Reign Academy,110760,110760,Pacific Northwest SC - PacNW G11 Blue,Pacific Northwest SC,,,2025-08-24,08:30:00,H,1,0,W,Field 3,https://public.totalglobalsports.com/public/event/3924,2025-12-30T15:58:41.447380+00:00
tgs,2025-12-30T15:58:41.447380+00:00_08e4f8,3924,Event 3924,32149,2011,u15,Girls,110760,110760,Pacific Northwest SC - PacNW G11 Blue,Pacific Northwest SC,92899,92899,Reign Academy - G2011,Reign Academy,,,2025-08-24,08:30:00,A,0,1,L,Field 3,https://public.totalglobalsports.com/public/event/3924,2025-12-30T15:58:41.447380+00:00
tgs,2025-12-30T15:58:41.447380+00:00_08e4f8,3924,Event 3924,32149,2011,u15,Girls,115614,115614,Thurston County United - TC United G2011 Navy,Thurston County United,107233,107233,United Sports Soccer Club - USFC G-11/12,United Sports Soccer Club,,,2025-08-24,08:30:00,H,2,6,L,Field 4,https://public.totalglobalsports.com/public/event/3924,2025-12-30T15:58:41.447380+00:00
tgs,2025-12-30T15:58:41.447380+00:00_08e4f8,3924,Event 3924,32149,2011,u15,Girls,107233,107233,United Sports Soccer Club - USFC G-11/12,United Sports Soccer Club,115614,115614,Thurston County United - TC United G2011 Navy,Thurston County United,,,2025-08-24,08:30:00,A,6,2,W,Field 4,https://public.totalglobalsports.com/public/event/3924,2025-12-30T15:58:41.447380+00:00
tgs,2025-12-30T15:58:41.447380+00:00_08e4f8,3924,Event 3924,32149,2011,u15,Girls,107233,107233,United Sports Soccer Club - USFC G-11/12,United Sports Soccer Club,92899,92899,Reign Academy - G2011,Reign Academy,,,2025-08-25,11:00:00,H,4,0,W,Field 4,https://public.totalglobalsports.com/public/event/3924,2025-12-30T15:58:41.447380+00:00
tgs,2025-12-30T15:58:41.447380+00:00_08e4f8,3924,Event 3924,32149,2011,u15,Girls,92899,92899,Reign Academy - G2011,Reign Academy,107233,107233,United Sports Soccer Club - USFC G-11/12,United Sports Soccer Club,,,2025-08-25,11:00:00,A,0,4,L,Field 4,https://public.totalglobalsports.com/public/event/3924,2025-12-30T15:58:41.447380+00:00
tgs,2025-12-30T15:58:41.447380+00:00_08e4f8,3924,Event 3924,32150,2012,u14,Girls,110694,110694,Eastside FC - G12ECNL,Eastside FC,114133,114133,Portland Thorns Academy - G12,No Club Selection,,,2025-08-22,15:30:00,H,3,0,W,Field 1,https://public.totalglobalsports.com/public/event/3924,2025-12-30T15:58:41.447380+00:00
tgs,2025-12-30T15:58:41.447380+00:00_08e4f8,3924,Event 3924,32150,2012,u14,Girls,114133,114133,Portland Thorns Academy - G12,No Club Selection,110694,110694,Eastside FC - G12ECNL,Eastside FC,,,2025-08-22,15:30:00,A,0,3,L,Field 1,https://public.totalglobalsports.com/public/event/3924,2025-12-30T15:58:41.447380+00:00
tgs,2025-12-30T15:58:41.447380+00:00_08e4f8,3924,Event 3924,32150,2012,u14,Girls,117949,117949,Capital Futbol Club - Capita FC G12 GA,Capital Futbol Club,85527,85527,PacNW SC ECNL G12,Pacific Northwest SC,,,2025-08-22,17:00:00,H,0,1,L,Field 2,https://public.totalglobalsports.com/public/event/3924,2025-12-30T15:58:41.447380+00:00
tgs,2025-12-30T15:58:41.447380+00:00_08e4f8,3924,Event 3924,32150,2012,u14,Girls,85527,85527,PacNW SC ECNL G12,Pacific Northwest SC,117949,117949,Capital Futbol Club - Capita FC G12 GA,Capital Futbol Club,,,2025-08-22,17:00:00,A,1,0,W,Field 2,https://public.totalglobalsports.com/public/event/3924,2025-12-30T15:58:41.447380+00:00
tgs,2025-12-30T15:58:41.447380+00:00_08e4f8,3924,Event 3924,32150,2012,u14,Girls,83471,83471,Washington Premier ECNL G12,Washington Premier,90910,90910,Oregon Surf ECNL G12,Oregon Surf,,,2025-08-22,18:30:00,H,4,0,W,Field 2,https://public.totalglobalsports.com/public/event/3924,2025-12-30T15:58:41.447380+00:00
tgs,2025-12-30T15:58:41.447380+00:00_08e4f8,3924,Event 3924,32150,2012,u14,Girls,90910,90910,Oregon Surf ECNL G12,Oregon Surf,83471,83471,Washington Premier ECNL G12,Washington Premier,,,2025-08-22,18:30:00,A,0,4,L,Field 2,https://public.totalglobalsports.com/public/event/3924,2025-12-30T15:58:41.447380+00:00
tgs,2025-12-30T15:58:41.447380+00:00_08e4f8,3924,Event 3924,32150,2012,u14,Girls,90910,90910,Oregon Surf ECNL G12,Oregon Surf,110694,110694,Eastside FC - G12ECNL,Eastside FC,,,2025-08-23,11:30:00,H,0,3,L,Field 2,https://public.totalglobalsports.com/public/event/3924,2025-12-30T15:58:41.447380+00:00
tgs,2025-12-30T15:58:41.447380+00:00_08e4f8,3924,Event 3924,32150,2012,u14,Girls,110694,110694,Eastside FC - G12ECNL,Eastside FC,90910,90910,Oregon Surf ECNL G12,Oregon Surf,,,2025-08-23,11:30:00,A,3,0,W,Field 2,https://public.totalglobalsports.com/public/event/3924,2025-12-30T15:58:41.447380+00:00
